../../pH7.03/CEST/ppm.txt,../../pH7.03/CEST/13.42mM.txt,../../pH7.03/CEST/16.77mM.txt,../../pH7.03/CEST/20.97mM.txt,../../pH7.03/CEST/26.21mM.txt,../../pH7.03/CEST/32.76mM.txt,../../pH7.03/CEST/40.96mM.txt,../../pH7.03/CEST/51.20mM.txt,../../pH7.03/CEST/64.00mM.txt,../../pH7.03/CEST/80.00mM.txt
-1.7,0.5998449031200239,0.5436807532209126,0.43916887803629284,0.8750040806701075,0.6949543974969283,0.528911217080457,0.9075059679417313,0.8956154140211945,0.7896390944310842
-1.55,0.5378199473218996,0.47474893940848956,0.384992817651614,0.8449117728504539,0.6515233304184382,0.4819033978753315,0.8825114127332048,0.8604443604065622,0.7803006196920207
-1.4,0.48553419505186374,0.428600918425187,0.33079028108755376,0.8179499988787395,0.6195321789027494,0.4330377141350985,0.8429230389685919,0.8516617491243125,0.7418269832718583
-1.25,0.427030468652759,0.3598461801045805,0.27279448404408485,0.7990749833531887,0.5745329626122329,0.36500411892497975,0.8278934593538911,0.8117377975132072,0.6880733867138799
-1.1,0.3592827312066668,0.29322536851271286,0.2078026761391741,0.7614067557483815,0.5182418618746591,0.3041831220920618,0.7963912822667586,0.7673665536007697,0.6462701592053713
-0.95,0.29685180407054274,0.23334363966788849,0.16930617437284778,0.7239360473579873,0.45476269772364347,0.23916169932073597,0.7671634757463275,0.7396110641766276,0.6094171473549579
-0.8,0.230023481205737,0.1830093345035271,0.12203779483736414,0.685041697163473,0.3982864798508422,0.18695163871838877,0.7276610692551407,0.6969062207337076,0.5509827976564199
-0.65,0.166233737251821,0.1277419256916779,0.08088194344651564,0.6172197985962833,0.34136773344175736,0.15927783319480973,0.6878031812749414,0.640337905545673,0.5167480088970913
-0.5,0.11843884018222736,0.09808206718788272,0.06581202168271276,0.5412511720972626,0.27392605068579146,0.13310756534356438,0.6235259663823527,0.6148825110620232,0.4525972696074271
-0.35,0.08503302566238806,0.06885788121489635,0.061157326753120224,0.4674377306634412,0.23153819090641412,0.10053497943900541,0.5838190987880688,0.5576439979742491,0.40079052342735183
-0.2,0.05656871312491885,0.05728124876500583,0.054125983886779826,0.355472462624546,0.1753732660916682,0.07861931385651344,0.5340593331783434,0.500162970757659,0.3640280066161204
-0.05,0.06345076415768278,0.0721527740522452,0.06556460635125198,0.2533731040826593,0.13212053530096138,0.0803110236325981,0.48654709928289913,0.4395161236844793,0.32262681979358127
0.1,0.05380363615730289,0.07316740230158046,0.08356046547679674,0.15739333592891402,0.10377054238173095,0.056990136492298574,0.41742319052219995,0.3949207436670498,0.2551906603899951
0.25,0.06917908158185844,0.09730608515393349,0.1046869502198527,0.07494686471293685,0.07732184692549858,0.05806993223649823,0.37846739606728463,0.3500054849875228,0.21252241252858473
0.04,0.10560107241824589,0.11183887600305391,0.14014261713563894,0.05095227108876586,0.057502577374033366,0.0775361550811381,0.31137885581884095,0.2781598533143187,0.1806259451169445
0.55,0.12872911293251602,0.1510645816751399,0.16006457266259616,0.08508529751347509,0.06200521655809921,0.08268579656887794,0.26484514396881814,0.23662848774315276,0.1453598913328784
0.7,0.16667737781698566,0.17976832798161244,0.1990160538770165,0.14179882019750317,0.07056958336126086,0.10098583580599324,0.20472101931236136,0.19049295354357668,0.10658325638210231
0.85,0.22693473432296293,0.2263874843233301,0.21439519915656025,0.24448668210754226,0.07332401575347343,0.1288156019003438,0.15579071051033158,0.1409572954723307,0.09543259727874176
